date,ship,lat,long,place,,,
1801-06-01,essex,36.9667,-76.3667,Hampton Roads,,,
1801-06-14,essex,39.66667,-51.15,,,,
1801-06-16,Essex,39.8,-45.25,,,,
1801-06-17,essex,39.833333,-39.116667,,,,
1801-06-19,essex,39.916667,-33.333333,,,,
1801-06-25,essex,37.916667,-15.516667,,,,
1801-06-27,essex,36.983333,-8,,,,
1801-06-28,essex,36.93667,-7.73222,Tavira bearing N N E 1/2 E 4 or 5 leagues,13.8 mi,22.2km,
1801-06-29,essex,36.37,-6.39778,Cadiz N N E 1/2 E 12 miles,,19.3km,
1801-06-30,essex,36.77944,-6.81722,St. Lucar E 7 or 8 leagues,24 mi,38.6km,
1801-07-01,essex,36.13833,-5.35,Gibraltar,,,
1801-07-05,essex,36.135,-5.19889,Ceuta W 3/4 S 5 leagues,17.2 mi,27.7km,
1801-07-06,essex,36.135,-4.583333,Malaga,,,
1801-07-07,essex,36.37944,-4.255,Malaga NNW 7 leagues,24 mi,38.6km,
1801-07-08,essex,36.2,-4.255,Cape Falcon S S E b S 5 leagues,17.2 mi,27.7km,
1801-07-09,essex,36.75,-4.255,Cape Abatel E b S 7 leagues,24 mi,38.6km,
1801-07-10,essex,37.01639,3.06639,Algiers S 5 leagues,17.2 mi,27.7km,
1801-07-11,essex,39.783333,4.066667,,,,
1801-07-12,essex,36.32639,3.35722,Cabrira N N W 1/2 W 10 leagues,34.5 mi,55.5km,
1801-07-13,essex,38.516667,4.066667,,,,
1801-07-15,essex,38.85,7,,,,
1801-07-16,essex,38.583333,7,,,,
1801-07-17,essex,37.95,8.2,,,,
1801-07-18,essex,37.37333,8.216667,Bizerte S 7 miles,,11.3km,
1801-07-19,essex,37.03833,10.10611,Port Farina N W 4 or 5 leagues,13.8 mi,22.2km,
1801-07-21,essex,36.8039,10.30932,Tunis Bay,,,
1801-07-22,essex,37.85306,12.1625,Favignana N E b E 3 leagues,10.4 mi,16.7km,
1801-07-23,essex,36.95,11.333333,,,,
1801-07-26,essex,38.25,8.066667,,,,
1801-07-29,essex,43.29597,5.34848,Marseilles,,,
1801-07-30,essex,41.745,2.79444,"Blanes, Spain N 5 miles",,8km,
1801-08-01,essex,41.37843,2.19477,Barcelona,,,
1801-08-09,essex,41.28111,2.19833,"Montjuic, Barcelona N N W 5 miles",,8km,
1801-08-12,essex,41.07193,1.14102,"Salou, Spain",,,
1801-08-13,essex,39.805,0.80639,Columbretes Island N W 9 miles,,14.5km,
1801-08-15,essex,38.33785,0.4806,Alicante,,,
1801-08-16,essex,41.88333,3.18333,Formigues,,,
1801-08-17,essex,36.55442,-2.67822,Almeria bore N E b N. & Cape De Gatt E N E. ,,,
1801-08-18,essex,36.683333,-2.67822,,,,
1801-08-19,essex,36.466667,-2.67822,,,,
1801-08-20,essex,36.033333,-2.67822,,,,
1801-08-21,essex,35.616667,-3.47944,Alhucemas 10 leagues south to SW,34.5 mi,55.5km,
1801-08-22,essex,36.633333,-3.725,,,,
1801-08-23,essex,36.72972,-3.725,Almunecar 2 or 3 miles eastward,,3.2km,
1801-08-24,essex,36.7015,-4.4165,Malaga,,,
1801-08-29,essex,36.14115,-5.33157,off rock of Gibraltar,,,
1801-08-30,essex,36.1075,-5.88278,30 mi east of Europa Point,,48.2km,
1801-08-31,essex,36.13833,-5.35,Gibraltar,,,
1801-09-01,essex,35.62303,-5.22092,off Tetuan,,,
1801-09-02,essex,36.7015,-4.4165,Malaga,,,
1801-09-03,essex,36.1326,-5.43417,Algeciras,,,
1801-09-04,essex,36.13833,-5.35,Gibraltar,,,
1802-09-06,essex,35.62303,-5.22092,Tetuan,,,
1801-09-08,essex,36.7015,-4.4165,Malaga,,,
1801-09-10,essex,36.7015,-4.4165,Malaga,,,
1801-09-14,essex,37.7,18,,,,
1801-09-16,essex,38.43333,1.16667,,,,
1801-09-17,essex,38.53333,4.45,,,,
1801-09-18,essex,39.05,6.4333,,,,
1801-09-22,essex,36.8039,10.30932,Tunis Bay,,,"36.8039, 10.30932"
1801-09-23,essex,36.86133,10.34182,"Carthage, Tunis",,,
1801-09-26,essex,35.4,12.73582,"Pidussa 20 miles, Island Linosa 10 leagues",,,
1801-09-28,essex,33.01778,13.09583,Tripoli S E b S 9 miles,,14.5km,
1801-09-29,essex,33.04194,13.11278,Tripoli S S E 1/2 E 10 miles,,16.1km,
1801-09-30,essex,33.01722,13.23472,Tripoli S S W 8 or 9 miles,,12.9km,
1801-10-01,essex,36.08333,12.60833,Linosa E S E 15 miles,,24.1km,
1801-10-02,essex,37.08333,10.91412,"Cape Bon S E 1/2 S, Cimaro (Zembra) S b W 1/2 W",,,
1801-10-03,essex,37.08333,10.32635,"Cape Farina S 3/4 W, Cape Blanco W b N",,,
1801-10-04,essex,37.76667,8.2,,,,
1801-10-05,essex,37.78333,8.2,,,,
1801-10-06,essex,37.35,7.43333,,,,
0180-10-09,essex,37.28333,4.18333,,,,
1801-10-13,essex,37.61667,4.1,,,,
1801-10-14,essex,36.46667,-1.77139,Cape de Gatt N W 9 leagues,,50km,
1801-10-15,essex,36.49806,-2.26528,Cape de Gatt N b E 1/2 E 24 miles,,28.6km,
1801-10-16,essex,36.36667,-2.26528,,,,
1801-10-19,essex,36.60052,-3.40962,Motril N W 1/2 W,,,
1801-10-21,essex,36.7015,-4.4165,Malaga,,,
1801-10-26,essex,36.57778,-4.45417,Malaga Cathedral NbE 10 miles,,16.1km,
1801-10-26,essex,36.14115,-5.33157,rock of Gibraltar,,,
1801-10-26,essex,36.1326,-5.43417,Algeciras Bay,,,
1801-11-02,essex,36.002,-4.94407,"Estapona NbW, Rock of Gibraltar WbN 1/2 W",,,
1801-11-03,essex,36.57694,-4.89306,west point of Malaga Bay EbN 1/2 N 8 or 9 leagues,,44.4km,
1801-11-04,essex,36.45361,-4.72417,"Malaga NE 7 leagues, Fuengirola NNE",,38.9km,
1801-11-05,essex,36.7015,-4.4165,Malaga,,,
1801-11-09,essex,36.02861,-4.98833,"rock of Gibraltar, WNW 6 leagues",,33.3km,
1801-11-10,essex,36.1597,-5.37938,"between St Roque and Gibraltar: North point of Gibraltar SE, Algeciras W 1/2 S, Europa Point S, Cabretta Point SW",,,
1801-11-12,essex,35.62303,-5.22092,Tetuan,,,
1801-11-14,essex,36.04361,-5.30583,Rock of Gibraltar NbNW 2 leagues,,11.1km,
1801-11-15,essex,36.1326,-5.43417,Algeciras Bay,,,
1801-11-17,essex,36.1326,-5.43417,Algeciras Bay,,,
1801-11-21,essex,36.01188,-5.31853,between Ceuta and Gibraltar,,,
1801-11-22,essex,35.82265,-5.75145,"town of Tangier WbS, Malabata WSW",,,
1801-11-23,essex,36.0796,-5.3422,"between Ceuta and Gibraltar, Europa Point SWbW 1/2 W",,,
1801-11-25,essex,36.0263,-5.33963,"Gibraltar NbW 1/2 W, Ceuta SWbW",,,
1801-11-27,essex,36.07737,-5.87528,"Gibraltar W, Ceuta point SW 1/2 S",,,
1801-11-29,essex,36.7015,-4.4165,"Malaga Bay: Malaga Cathedral NbW 1/2 W, Cape Molinero SWbW",,,
1801-12-06,essex,36.7015,-4.4165,"Cape Molinero, NNW, Malaga Cathedral NE",,,
1801-12-08,essex,35.10528,-5.38389,Gibraltar NE 1/2 N 3 miles,,4.8km,
1801-12-09,essex,36.07505,-5.13033,"Ceuta Point SWbS, Apes Hill WbS",,,
1801-12-13,essex,35.57353,-5.004,"Gibraltar NNW 1/2 W, Ceuta NW b W 1/2 W",,,
1801-12-16,essex,35.35205,-5.01773,Marbella NE 1/2 E,,,
1801-12-19,essex,36.42473,-4.81982,"Marbella NbW 1/2 N, Cape Molinero NE 1/2 N",,,
1801-12-21,essex,36.14467,-4.40072,"Rock of Gibraltar NEbE 1/2 E, Algeciras WbS 1/2 S, Cabretta Point SbW 1/2 W, Ceuta SbE",,,
1801-12-23,essex,35.96147,-5.31558,"Europa Point NW 1/2 W, north point of rock N 1/2 W",,,
1801-12-25,essex,36.7015,-4.4165,"Malaga Bay: Malaga Cathedral N, Cape Molinero WSW",,,
1802-01-02,essex,35.87417,-5.13842,"Marbella N 1/2 E, Gibraltar WbN, Apes Hill W 1/2 S",,,
1802-01-08,essex,36.15353,-5.40957,"Algeciras WbS, St Roque NE 1/2 E",,,
1802-02-09,essex,35.99533,-5.43943,"Ceuta SbE, Europa Point ENE",,,
1802-02-10,essex,35.12582,-5.36403,"Europa Point S, North pt of the rock E 1/2 S, Algeciras WNW, St Roque NbE",,,
1802-02-15,essex,35.62303,-5.22092,Tetuan,,,
